team,year,league,shots made,shots attempted,free throws made,free throws attempted,assists,fouls committed,points scored,points allowed,games won,games lost,win pct,Over 500,Champion,total games,shots made/100,shots attempted/100,free throws made/100,free throws attempted/100,assists/100,fouls commited/100,points scored/100,points allowed/100,Playoffs,Playoff Win,Final 2
BOS,1957,N,3006,7759,1904,2585,1508,1723,7916,7517,49,23,0.680555556,Yes,No,72,4175,10776.38889,2644.444444,3590.277778,2094.444444,2393.055556,10994.44444,10440.27778,Yes,Yes,Yes
CIN,1957,N,2817,7339,1688,2372,1578,1835,7322,7243,33,39,0.458333333,No,No,72,3912.5,10193.05556,2344.444444,3294.444444,2191.666667,2548.611111,10169.44444,10059.72222,Yes,No,No
DET,1957,N,2746,7295,2093,2774,1264,1807,7585,7754,33,39,0.458333333,No,No,72,3813.888889,10131.94444,2906.944444,3852.777778,1755.555556,2509.722222,10534.72222,10769.44444,Yes,Yes,No
MIE,1957,N,2660,7192,2246,3007,1322,1982,7566,8028,19,53,0.263888889,No,No,72,3694.444444,9988.888889,3119.444444,4176.388889,1836.111111,2752.777778,10508.33333,11150,No,No,No
NYK,1957,N,2884,7307,2300,3056,1359,1865,8068,7978,35,37,0.486111111,No,No,72,4005.555556,10148.61111,3194.444444,4244.444444,1887.5,2590.277778,11205.55556,11080.55556,No,No,No
PH1,1957,N,2765,7276,1977,2596,1441,1763,7507,7517,37,35,0.513888889,Yes,No,72,3840.277778,10105.55556,2745.833333,3605.555556,2001.388889,2448.611111,10426.38889,10440.27778,Yes,Yes,No
STL,1957,N,2779,7162,2180,3047,1541,1875,7738,7646,41,31,0.569444444,Yes,Yes,72,3859.722222,9947.222222,3027.777778,4231.944444,2140.277778,2604.166667,10747.22222,10619.44444,Yes,Yes,Yes
SYR,1957,N,2823,7336,2075,2617,1298,1820,7721,7567,41,31,0.569444444,Yes,No,72,3920.833333,10188.88889,2881.944444,3634.722222,1802.777778,2527.777778,10723.61111,10509.72222,Yes,No,No
BOS,1958,N,3208,8116,1963,2563,1568,1769,8379,7913,52,20,0.722222222,Yes,Yes,72,4455.555556,11272.22222,2726.388889,3559.722222,2177.777778,2456.944444,11637.5,10990.27778,Yes,Yes,Yes
CIN,1958,N,2854,7340,1713,2375,1369,1855,7421,8064,19,53,0.263888889,No,No,72,3963.888889,10194.44444,2379.166667,3298.611111,1901.388889,2576.388889,10306.94444,11200,No,No,No
DET,1958,N,2811,7305,1943,2627,1317,1881,7565,7675,28,44,0.388888889,No,No,72,3904.166667,10145.83333,2698.611111,3648.611111,1829.166667,2612.5,10506.94444,10659.72222,Yes,No,No
MIE,1958,N,2779,7084,2071,2718,1373,1874,7629,7726,33,39,0.458333333,No,No,72,3859.722222,9838.888889,2876.388889,3775,1906.944444,2602.777778,10595.83333,10730.55556,Yes,Yes,Yes
NYK,1958,N,2863,7170,2217,2802,1383,1899,7943,7927,40,32,0.555555556,Yes,No,72,3976.388889,9958.333333,3079.166667,3891.666667,1920.833333,2637.5,11031.94444,11009.72222,Yes,No,No
PH1,1958,N,2826,7423,1783,2425,1375,1776,7435,7654,32,40,0.444444444,No,No,72,3925,10309.72222,2476.388889,3368.055556,1909.722222,2466.666667,10326.38889,10630.55556,No,No,No
STL,1958,N,2879,7015,2072,2757,1567,1937,7830,7567,49,23,0.680555556,Yes,No,72,3998.611111,9743.055556,2877.777778,3829.166667,2176.388889,2690.277778,10875,10509.72222,Yes,No,No
SYR,1958,N,3050,7490,2046,2642,1340,1961,8146,7855,35,37,0.486111111,No,No,72,4236.111111,10402.77778,2841.666667,3669.444444,1861.111111,2723.611111,11313.88889,10909.72222,Yes,Yes,No
BOS,1959,N,3744,8971,1849,2519,1849,1856,9337,8715,59,16,0.786666667,Yes,Yes,75,4992,11961.33333,2465.333333,3358.666667,2465.333333,2474.666667,12449.33333,11620,Yes,Yes,Yes
CIN,1959,N,3210,7786,1913,2672,1747,2097,8333,8805,19,56,0.253333333,No,No,75,4280,10381.33333,2550.666667,3562.666667,2329.333333,2796,11110.66667,11740,No,No,No
DET,1959,N,3146,7920,2075,2847,1472,1983,8367,8625,30,45,0.4,No,No,75,4194.666667,10560,2766.666667,3796,1962.666667,2644,11156,11500,Yes,No,No
MIE,1959,N,3040,7884,1965,2691,1444,1813,8045,8355,25,50,0.333333333,No,No,75,4053.333333,10512,2620,3588,1925.333333,2417.333333,10726.66667,11140,Yes,Yes,No
NYK,1959,N,3429,8153,1942,2539,1667,1940,8800,8970,27,48,0.36,No,No,75,4572,10870.66667,2589.333333,3385.333333,2222.666667,2586.666667,11733.33333,11960,No,No,No
PH1,1959,N,3549,8678,1797,2686,1796,1715,8895,8730,49,26,0.653333333,Yes,No,75,4732,11570.66667,2396,3581.333333,2394.666667,2286.666667,11860,11640,Yes,Yes,No
STL,1959,N,3179,7580,2148,2885,1881,1995,8506,8303,46,29,0.613333333,Yes,No,75,4238.666667,10106.66667,2864,3846.666667,2508,2660,11341.33333,11070.66667,Yes,Yes,Yes
SYR,1959,N,3406,8232,2105,2662,1676,1939,8917,8730,45,30,0.6,Yes,No,75,4541.333333,10976,2806.666667,3549.333333,2234.666667,2585.333333,11889.33333,11640,Yes,No,No
BOS,1960,N,3697,9295,2062,2804,1872,2032,9456,9014,57,22,0.721518987,Yes,Yes,79,4679.746835,11765.82278,2610.126582,3549.367089,2369.620253,2572.151899,11969.62025,11410.12658,Yes,Yes,Yes
CIN,1960,N,3626,8281,2060,2761,2107,2159,9312,9583,33,46,0.417721519,No,No,79,4589.873418,10482.27848,2607.594937,3494.936709,2667.088608,2732.911392,11787.34177,12130.37975,No,No,No
DET,1960,N,3481,8357,2408,3240,1866,2157,9370,9488,34,45,0.430379747,No,No,79,4406.329114,10578.48101,3048.101266,4101.265823,2362.025316,2730.379747,11860.75949,12010.12658,Yes,No,No
LAL,1960,N,3401,8430,2204,2999,1728,2043,9006,9014,36,43,0.455696203,No,No,79,4305.063291,10670.88608,2789.873418,3796.202532,2187.341772,2586.075949,11400,11410.12658,Yes,Yes,No
NYK,1960,N,3422,8347,2135,2838,1822,2223,8979,9488,21,58,0.265822785,No,No,79,4331.64557,10565.82278,2702.531646,3592.405063,2306.329114,2813.924051,11365.82278,12010.12658,No,No,No
PH1,1960,N,3768,8883,2022,3108,1959,1936,9558,9488,46,33,0.582278481,Yes,No,79,4769.620253,11244.3038,2559.493671,3934.177215,2479.746835,2450.632911,12098.73418,12010.12658,Yes,No,No
STL,1960,N,3618,8795,2147,2921,2136,2135,9383,9101,51,28,0.64556962,Yes,No,79,4579.746835,11132.91139,2717.721519,3697.468354,2703.797468,2702.531646,11877.21519,11520.25316,Yes,Yes,Yes
SYR,1960,N,3654,8746,2278,2948,1786,2280,9586,9417,38,41,0.481012658,No,No,79,4625.316456,11070.88608,2883.544304,3731.64557,2260.759494,2886.075949,12134.17722,11920.25316,Yes,Yes,No
BOS,1961,N,3855,9109,1977,2715,2049,1909,9687,8952,60,20,0.75,Yes,Yes,80,4818.75,11386.25,2471.25,3393.75,2561.25,2386.25,12108.75,11190,Yes,Yes,Yes
CH2,1961,N,3461,8405,1952,2901,1802,1954,8874,9552,18,62,0.225,No,No,80,4326.25,10506.25,2440,3626.25,2252.5,2442.5,11092.5,11940,No,No,No
CIN,1961,N,3806,8414,2233,2969,2154,2081,9845,9704,43,37,0.5375,Yes,No,80,4757.5,10517.5,2791.25,3711.25,2692.5,2601.25,12306.25,12130,Yes,No,No
DET,1961,N,3472,8366,2290,3142,1723,2040,9234,9368,37,43,0.4625,No,No,80,4340,10457.5,2862.5,3927.5,2153.75,2550,11542.5,11710,Yes,Yes,No
LAL,1961,N,3552,8315,2378,3240,1878,2057,9482,9600,54,26,0.675,Yes,No,80,4440,10393.75,2972.5,4050,2347.5,2571.25,11852.5,12000,Yes,Yes,Yes
NYK,1961,N,3638,8696,1911,2693,1765,2056,9187,9576,29,51,0.3625,No,No,80,4547.5,10870,2388.75,3366.25,2206.25,2570,11483.75,11970,No,No,No
PH1,1961,N,3917,8929,2201,3207,2073,2013,10035,9816,49,31,0.6125,Yes,No,80,4896.25,11161.25,2751.25,4008.75,2591.25,2516.25,12543.75,12270,Yes,Yes,No
STL,1961,N,3641,8461,2226,2939,1996,2166,9508,9768,29,51,0.3625,No,No,80,4551.25,10576.25,2782.5,3673.75,2495,2707.5,11885,12210,No,No,No
SYR,1961,N,3706,8875,2246,2880,1791,2344,9658,9472,41,39,0.5125,Yes,No,80,4632.5,11093.75,2807.5,3600,2238.75,2930,12072.5,11840,Yes,No,No
