team,year,league,shots made,shots attempted,free throws made,free throws attempted,offensive rebounds,defensive rebounds,total rebounds,assists,fouls commited,steals,turnovers,blocks,total points,made shots allowed,shot attempts allowed,made free throws against,free throw attempts allowed,offensive rebounds allowed,defensive rebounds allowed,total rebounds allowed,assists allowed,fouls against,steals against,turnovers against,blocks against,3 pointers allowed,points allowed,pace,games won,games lost,win pct,Over 500,Champion,Playoffs,Playoff Win,Final 2
ATL,1973,N,3602,7744,1703,2264,1240,2712,3952,1993,2073,758,1823,332,8907,3573,7628,1878,2386,1142,2754,3896,2028,2128,823,1846,388,0,9024,113.04921,35,47,0.426829268,No,No,No,No,No
BOS,1973,N,3630,7969,1677,2097,1378,3074,4452,2187,1868,561,1796,305,8937,3561,8047,1494,1936,1131,2604,3735,1934,1858,540,1599,309,0,8616,112.87708,56,26,0.682926829,Yes,Yes,Yes,Yes,Yes
BUF,1973,N,3728,7763,1699,2221,1150,2830,3980,2165,1875,786,1828,600,9155,3786,8106,1592,2013,1271,2733,4004,2256,1992,798,1763,435,0,9164,114.23959,42,40,0.512195122,Yes,No,Yes,No,No
CAP,1973,N,3480,7886,1393,1869,1286,2887,4173,1770,1746,703,1568,441,8353,3496,7760,1239,1639,1206,2915,4121,1900,1840,651,1651,350,0,8231,108.2838,47,35,0.573170732,Yes,No,Yes,No,No
CAR,1973,A,3714,7659,1825,2447,0,0,3827,2027,2275,0,0,0,9278,3557,7529,1787,2338,0,0,3877,1811,2110,0,0,0,86,8987,0,47,37,0.55952381,Yes,No,Yes,No,No
CHI,1973,N,3292,7378,1784,2314,1143,2616,3759,1868,1874,764,1690,316,8368,3336,7246,1425,1847,1136,2734,3870,1830,2200,614,1880,406,0,8097,107.25224,54,28,0.658536585,Yes,No,Yes,Yes,No
CLE,1973,N,3420,7782,1381,1788,1275,2492,3767,2048,1925,598,1545,293,8221,3440,7342,1696,2163,1137,2802,3939,2120,1853,630,1654,343,0,8576,106.66962,29,53,0.353658537,No,No,No,No,No
DEN,1973,A,3553,8042,1776,2271,0,0,4152,2004,2079,0,0,0,8989,3670,7842,1587,2094,0,0,3955,2321,2072,0,0,0,105,9032,0,37,47,0.440476191,No,No,No,No,No
DET,1973,N,3453,7515,1654,2164,1200,2681,3881,1956,1930,793,1763,419,8560,3376,7499,1475,1932,1173,2632,3805,1980,1996,772,1822,410,0,8227,108.95901,52,30,0.634146342,Yes,No,Yes,No,No
GSW,1973,N,3721,8020,1569,2018,1379,3035,4414,1989,1893,668,1667,450,9011,3619,7995,1563,2054,1227,2702,3929,2027,1826,714,1477,465,0,8801,110.87151,44,38,0.536585366,Yes,No,No,No,No
HOU,1973,N,3564,7426,1682,2071,1063,2588,3651,2212,2104,727,1681,407,8810,3551,7433,1719,2337,1162,2619,3781,2122,1994,707,1737,375,0,8821,108.73708,32,50,0.390243902,No,No,No,No,No
IND,1973,A,3546,7886,1625,2242,0,0,4370,1825,1926,0,0,0,8888,3606,8069,1524,2031,0,0,4256,1853,2036,0,0,0,80,8816,0,46,38,0.547619048,Yes,No,Yes,Yes,No
KCK,1973,N,3369,7342,1628,2104,1112,2554,3666,1744,1916,796,1791,384,8366,3580,7514,1512,1950,1210,2650,3860,1916,1907,723,1765,373,0,8672,108.02537,33,49,0.402439024,No,No,No,No,No
KEN,1973,A,3681,8075,1565,2092,0,0,4417,2104,1771,0,0,0,9024,3576,8003,1419,1879,0,0,4204,1742,1967,0,0,0,104,8675,0,53,31,0.630952381,Yes,No,Yes,Yes,No
LAL,1973,N,3536,7803,1879,2443,1365,2970,4335,2179,2032,794,1913,653,8951,3667,8364,1546,2044,1525,2786,4311,2061,2135,797,1719,430,0,8880,114.1267,47,35,0.573170732,Yes,No,Yes,No,No
MIL,1973,N,3726,7571,1328,1741,1133,2881,4014,2225,1864,726,1694,519,8780,3311,7799,1499,1969,1269,2487,3756,1909,1707,719,1554,312,0,8121,107.87209,59,23,0.719512195,Yes,No,Yes,Yes,Yes
MMT,1973,A,3446,7507,1532,2023,0,0,4024,1920,2082,0,0,0,8503,3598,7581,1821,2392,0,0,3783,1949,2000,0,0,0,75,9092,0,21,63,0.25,No,No,No,No,No
NYK,1973,N,3478,7483,1350,1738,959,2725,3684,1937,1884,554,1463,277,8306,3292,7377,1496,1974,1042,2790,3832,1580,1792,479,1555,348,0,8080,105.82857,49,33,0.597560976,Yes,No,Yes,Yes,No
NYN,1973,A,3855,8038,1397,1852,0,0,4106,2025,1979,0,0,0,9188,3476,7809,1677,2261,0,0,4116,1858,1839,0,0,0,110,8739,0,55,29,0.654761905,Yes,Yes,Yes,Yes,Yes
PHI,1973,N,3331,7702,1633,2118,1182,2626,3808,1799,1964,756,1665,220,8295,3600,7685,1617,2066,1311,3107,4418,1930,1991,755,1830,446,0,8817,110.17817,25,57,0.304878049,No,No,No,No,No
PHO,1973,N,3555,7726,1737,2235,1090,2723,3813,2052,2123,658,1666,305,8847,3648,7809,1843,2356,1220,2773,3993,2180,2003,810,1637,396,0,9139,112.10058,30,52,0.365853659,No,No,No,No,No
POR,1973,N,3585,7684,1591,2112,1254,2598,3852,2106,2050,797,1823,341,8761,3664,7571,1825,2299,1197,2678,3875,2308,1961,866,1713,415,0,9153,110.48567,27,55,0.329268293,No,No,No,No,No
SAS,1973,A,3343,7347,1462,1878,0,0,3881,1808,2197,0,0,0,8199,3149,6964,1721,2268,0,0,3611,1764,1970,0,0,0,107,8126,0,45,39,0.535714286,Yes,No,Yes,No,No
SDQ,1973,A,3907,8829,1476,1960,0,0,4170,1984,1642,0,0,0,9506,4121,8823,1389,1803,0,0,4750,2217,1949,0,0,0,88,9719,0,37,47,0.440476191,No,No,Yes,No,No
SEA,1973,N,3584,8056,1606,2095,1323,2706,4029,2106,2074,689,1622,294,8774,3554,7675,1875,2427,1173,2932,4105,2255,2012,730,1796,355,0,8983,112.67256,36,46,0.43902439,No,No,No,No,No
UTS,1973,A,3584,7422,1566,1985,0,0,3794,1870,1940,0,0,0,8828,3578,7756,1502,1951,0,0,4031,1836,1918,0,0,0,140,8798,0,51,33,0.607142857,Yes,No,Yes,Yes,Yes
VIR,1973,A,3426,7581,2007,2612,0,0,3964,1665,2167,0,0,0,8933,3724,8010,1804,2345,0,0,4122,1881,2197,0,0,0,100,9352,0,28,56,0.333333333,No,No,Yes,No,No
ATL,1974,N,3424,7824,1772,2435,1441,2653,4094,1878,1964,744,1550,227,8620,3563,7504,1606,2098,1169,2851,4020,1914,2265,746,1723,422,0,8732,108.70082,31,51,0.378048781,No,No,No,No,No
BOS,1974,N,3587,7825,1560,1971,1315,2949,4264,2159,1913,662,1625,288,8734,3432,7726,1401,1882,1060,2622,3682,1833,1869,599,1475,283,0,8265,108.615,60,22,0.731707317,Yes,No,Yes,Yes,No
BUF,1974,N,3552,7469,1735,2224,1108,2735,3843,2063,1879,718,1710,456,8839,3575,7943,1513,1943,1295,2619,3914,2151,2030,730,1670,383,0,8663,110.13296,49,33,0.597560976,Yes,No,Yes,No,No
CHI,1974,N,3167,7085,1711,2203,1107,2786,3893,1840,1952,668,1482,379,8045,3167,7070,1457,1900,1008,2647,3655,1686,2168,625,1580,404,0,7791,102.1844,47,35,0.573170732,Yes,No,Yes,Yes,No
CLE,1974,N,3408,7371,1301,1753,1058,2502,3560,1903,1881,600,1462,348,8117,3263,7243,1621,2102,1235,2694,3929,1746,1932,711,1618,277,0,8147,103.33199,40,42,0.487804878,No,No,No,No,No
DEN,1974,A,3953,7764,2041,2546,0,0,3816,2450,2065,0,0,0,9969,3809,8049,1629,2152,0,0,3803,2073,2128,0,0,0,112,9359,0,65,19,0.773809524,Yes,No,Yes,Yes,No
DET,1974,N,3289,7053,1533,1975,1002,2515,3517,1916,1866,679,1557,380,8111,3409,7257,1410,1793,1104,2550,3654,2012,1875,663,1523,306,0,8228,102.39352,40,42,0.487804878,No,No,No,No,No
GSW,1974,N,3714,7981,1470,1915,1416,2854,4270,2076,2109,972,1716,365,8898,3481,7628,1666,2209,1185,2658,3843,2084,1855,794,1644,387,0,8628,109.89169,48,34,0.585365854,Yes,Yes,Yes,Yes,Yes
HOU,1974,N,3448,7231,1625,2034,1177,2495,3672,2155,2068,746,1759,351,8521,3429,7127,1576,2127,1036,2380,3416,2024,2063,750,1685,308,0,8434,105.28197,41,41,0.5,No,No,Yes,No,No
IND,1974,A,3891,8365,1465,1969,0,0,4238,1927,1946,0,0,0,9471,3831,7848,1644,2127,0,0,4194,2055,1906,0,0,0,75,9381,0,45,39,0.535714286,Yes,No,Yes,Yes,Yes
KCK,1974,N,3257,7258,1797,2190,991,2745,3736,1853,1968,724,1542,347,8311,3410,7400,1515,1972,1060,2812,3872,1840,2029,606,1605,312,0,8335,106.28185,44,38,0.536585366,Yes,No,Yes,No,No
KEN,1974,A,3733,7785,1631,2233,0,0,4289,2177,2017,0,0,0,9151,3425,7687,1593,2012,0,0,3881,1846,2011,0,0,0,99,8542,0,58,26,0.690476191,Yes,Yes,Yes,Yes,Yes
LAL,1974,N,3409,7577,1641,2182,1312,2763,4075,2091,2079,755,1785,423,8459,3595,7914,1603,2117,1422,2807,4229,2239,2015,822,1606,442,0,8793,109.02743,30,52,0.365853659,No,No,No,No,No
MIL,1974,N,3450,7367,1354,1746,1021,2766,3787,1932,1949,596,1540,400,8254,3371,7600,1495,1910,1153,2645,3798,1960,1704,660,1379,298,0,8237,104.68242,38,44,0.463414634,No,No,No,No,No
MMS,1974,A,3577,7820,1367,1765,0,0,3656,2032,1719,0,0,0,8698,3824,7773,1429,1897,0,0,4354,2212,1810,0,0,0,72,9149,0,27,57,0.321428571,No,No,Yes,No,No
NOJ,1974,N,3301,7509,1717,2247,1144,2616,3760,1818,2222,725,1802,256,8319,3553,7433,1857,2465,1193,2924,4117,1891,2126,783,1924,349,0,8963,111.23172,23,59,0.280487805,No,No,No,No,No
NYK,1974,N,3359,7464,1518,1967,981,2652,3633,1675,2001,652,1374,300,8236,3361,7357,1615,2082,1070,2856,3926,1668,1912,572,1493,369,0,8337,105.27423,40,42,0.487804878,No,No,No,No,No
NYN,1974,A,3879,7943,1501,1929,0,0,3990,2007,1947,0,0,0,9328,3501,7726,1551,2022,0,0,4054,1813,1786,0,0,0,132,8685,0,58,26,0.690476191,Yes,No,Yes,No,No
PHI,1974,N,3325,7476,1530,2043,1200,2706,3906,1709,1974,576,1591,263,8180,3445,7466,1541,1979,1167,2748,3915,1959,2036,742,1577,343,0,8431,105.84307,34,48,0.414634146,No,No,No,No,No
PHO,1974,N,3381,7561,1535,2082,1349,2684,4033,1879,2090,664,1760,317,8297,3356,7323,1780,2350,1112,2564,3676,2062,1992,870,1586,412,0,8492,107.09052,32,50,0.390243902,No,No,No,No,No
POR,1974,N,3414,7113,1680,2265,1049,2758,3807,2209,2055,755,1833,399,8508,3379,7502,1714,2178,1207,2572,3779,2090,2085,927,1607,383,0,8472,107.30108,38,44,0.463414634,No,No,No,No,No
SAS,1974,A,3779,7909,1926,2373,0,0,4260,1870,2043,0,0,0,9525,3731,7909,1599,2129,0,0,3886,2082,2157,0,0,0,112,9173,0,51,33,0.607142857,Yes,No,Yes,No,No
SDQ,1974,A,3845,8352,1418,1848,0,0,4035,2103,1778,0,0,0,9231,3975,8374,1661,2161,0,0,4401,2101,1791,0,0,0,88,9699,0,31,53,0.369047619,No,No,No,No,No
SEA,1974,N,3488,7653,1475,1970,1142,2579,3721,1997,1977,837,1610,378,8451,3490,7606,1560,2090,1286,2754,4040,2188,1948,692,1755,349,0,8540,108.68196,43,39,0.524390244,Yes,No,Yes,No,No
STL,1974,A,3771,8005,1583,2136,0,0,4294,2111,2051,0,0,0,9156,3897,7952,1663,2166,0,0,3820,2276,1984,0,0,0,65,9522,0,32,52,0.380952381,No,No,Yes,Yes,No
UTS,1974,A,3375,7136,1665,2162,0,0,3972,1774,1921,0,0,0,8509,3503,7611,1549,2027,0,0,3776,1849,2029,0,0,0,90,8645,0,38,46,0.452380952,No,No,Yes,No,No
VIR,1974,A,3328,7432,1585,2146,0,0,3689,1704,2160,0,0,0,8317,3635,7582,1864,2414,0,0,4070,1848,2045,0,0,0,66,9200,0,15,69,0.178571429,No,No,No,No,No
WA1,1974,N,3555,7697,1475,1962,1133,2764,3897,2005,1961,929,1594,409,8585,3249,7415,1499,1967,1184,2819,4003,1811,2004,710,1842,259,0,7997,108.54514,60,22,0.731707317,Yes,No,Yes,Yes,Yes
