team,year,league,shots made,shots attempted,free throws made,free throws attempted,assists,fouls committed,points scored,points allowed,games won,games lost,win pct,Over 500,Champion,Playoffs,Playoff Win,Final 2
BOS,1957,N,3006,7759,1904,2585,1508,1723,7916,7517,49,23,0.680555556,1,0,1,1,1
CIN,1957,N,2817,7339,1688,2372,1578,1835,7322,7243,33,39,0.458333333,0,0,1,0,0
DET,1957,N,2746,7295,2093,2774,1264,1807,7585,7754,33,39,0.458333333,0,0,1,1,0
MIE,1957,N,2660,7192,2246,3007,1322,1982,7566,8028,19,53,0.263888889,0,0,0,0,0
NYK,1957,N,2884,7307,2300,3056,1359,1865,8068,7978,35,37,0.486111111,0,0,0,0,0
PH1,1957,N,2765,7276,1977,2596,1441,1763,7507,7517,37,35,0.513888889,1,0,1,1,0
STL,1957,N,2779,7162,2180,3047,1541,1875,7738,7646,41,31,0.569444444,1,1,1,1,1
SYR,1957,N,2823,7336,2075,2617,1298,1820,7721,7567,41,31,0.569444444,1,0,1,0,0
BOS,1958,N,3208,8116,1963,2563,1568,1769,8379,7913,52,20,0.722222222,1,1,1,1,1
CIN,1958,N,2854,7340,1713,2375,1369,1855,7421,8064,19,53,0.263888889,0,0,0,0,0
DET,1958,N,2811,7305,1943,2627,1317,1881,7565,7675,28,44,0.388888889,0,0,1,0,0
MIE,1958,N,2779,7084,2071,2718,1373,1874,7629,7726,33,39,0.458333333,0,0,1,1,1
NYK,1958,N,2863,7170,2217,2802,1383,1899,7943,7927,40,32,0.555555556,1,0,1,0,0
PH1,1958,N,2826,7423,1783,2425,1375,1776,7435,7654,32,40,0.444444444,0,0,0,0,0
STL,1958,N,2879,7015,2072,2757,1567,1937,7830,7567,49,23,0.680555556,1,0,1,0,0
SYR,1958,N,3050,7490,2046,2642,1340,1961,8146,7855,35,37,0.486111111,0,0,1,1,0
BOS,1959,N,3744,8971,1849,2519,1849,1856,9337,8715,59,16,0.786666667,1,1,1,1,1
CIN,1959,N,3210,7786,1913,2672,1747,2097,8333,8805,19,56,0.253333333,0,0,0,0,0
DET,1959,N,3146,7920,2075,2847,1472,1983,8367,8625,30,45,0.4,0,0,1,0,0
MIE,1959,N,3040,7884,1965,2691,1444,1813,8045,8355,25,50,0.333333333,0,0,1,1,0
NYK,1959,N,3429,8153,1942,2539,1667,1940,8800,8970,27,48,0.36,0,0,0,0,0
PH1,1959,N,3549,8678,1797,2686,1796,1715,8895,8730,49,26,0.653333333,1,0,1,1,0
STL,1959,N,3179,7580,2148,2885,1881,1995,8506,8303,46,29,0.613333333,1,0,1,1,1
SYR,1959,N,3406,8232,2105,2662,1676,1939,8917,8730,45,30,0.6,1,0,1,0,0
BOS,1960,N,3697,9295,2062,2804,1872,2032,9456,9014,57,22,0.721518987,1,1,1,1,1
CIN,1960,N,3626,8281,2060,2761,2107,2159,9312,9583,33,46,0.417721519,0,0,0,0,0
DET,1960,N,3481,8357,2408,3240,1866,2157,9370,9488,34,45,0.430379747,0,0,1,0,0
LAL,1960,N,3401,8430,2204,2999,1728,2043,9006,9014,36,43,0.455696203,0,0,1,1,0
NYK,1960,N,3422,8347,2135,2838,1822,2223,8979,9488,21,58,0.265822785,0,0,0,0,0
PH1,1960,N,3768,8883,2022,3108,1959,1936,9558,9488,46,33,0.582278481,1,0,1,0,0
STL,1960,N,3618,8795,2147,2921,2136,2135,9383,9101,51,28,0.64556962,1,0,1,1,1
SYR,1960,N,3654,8746,2278,2948,1786,2280,9586,9417,38,41,0.481012658,0,0,1,1,0
BOS,1961,N,3855,9109,1977,2715,2049,1909,9687,8952,60,20,0.75,1,1,1,1,1
CH2,1961,N,3461,8405,1952,2901,1802,1954,8874,9552,18,62,0.225,0,0,0,0,0
CIN,1961,N,3806,8414,2233,2969,2154,2081,9845,9704,43,37,0.5375,1,0,1,0,0
DET,1961,N,3472,8366,2290,3142,1723,2040,9234,9368,37,43,0.4625,0,0,1,1,0
LAL,1961,N,3552,8315,2378,3240,1878,2057,9482,9600,54,26,0.675,1,0,1,1,1
NYK,1961,N,3638,8696,1911,2693,1765,2056,9187,9576,29,51,0.3625,0,0,0,0,0
PH1,1961,N,3917,8929,2201,3207,2073,2013,10035,9816,49,31,0.6125,1,0,1,1,0
STL,1961,N,3641,8461,2226,2939,1996,2166,9508,9768,29,51,0.3625,0,0,0,0,0
SYR,1961,N,3706,8875,2246,2880,1791,2344,9658,9472,41,39,0.5125,1,0,1,0,0
BOS,1962,N,3746,8779,2012,2777,1960,2090,9504,8928,58,22,0.725,1,1,1,1,1
CH2,1962,N,3371,7448,2053,2944,1773,2065,8795,9112,25,55,0.3125,0,0,0,0,0
CIN,1962,N,3672,7998,2183,2923,1931,2203,9527,9424,42,38,0.525,1,0,1,1,0
