team,year,league,shots made,shots attempted,free throws made,points scored,points allowed,Over 500,Champion,Playoffs,Playoff Win,Final 2
BOS,1957,N,3006,7759,1904,7916,7517,1,0,1,1,1
CIN,1957,N,2817,7339,1688,7322,7243,0,0,1,0,0
DET,1957,N,2746,7295,2093,7585,7754,0,0,1,1,0
MIE,1957,N,2660,7192,2246,7566,8028,0,0,0,0,0
NYK,1957,N,2884,7307,2300,8068,7978,0,0,0,0,0
PH1,1957,N,2765,7276,1977,7507,7517,1,0,1,1,0
STL,1957,N,2779,7162,2180,7738,7646,1,1,1,1,1
SYR,1957,N,2823,7336,2075,7721,7567,1,0,1,0,0
BOS,1958,N,3208,8116,1963,8379,7913,1,1,1,1,1
CIN,1958,N,2854,7340,1713,7421,8064,0,0,0,0,0
DET,1958,N,2811,7305,1943,7565,7675,0,0,1,0,0
MIE,1958,N,2779,7084,2071,7629,7726,0,0,1,1,1
NYK,1958,N,2863,7170,2217,7943,7927,1,0,1,0,0
PH1,1958,N,2826,7423,1783,7435,7654,0,0,0,0,0
STL,1958,N,2879,7015,2072,7830,7567,1,0,1,0,0
SYR,1958,N,3050,7490,2046,8146,7855,0,0,1,1,0
BOS,1959,N,3744,8971,1849,9337,8715,1,1,1,1,1
CIN,1959,N,3210,7786,1913,8333,8805,0,0,0,0,0
DET,1959,N,3146,7920,2075,8367,8625,0,0,1,0,0
MIE,1959,N,3040,7884,1965,8045,8355,0,0,1,1,0
NYK,1959,N,3429,8153,1942,8800,8970,0,0,0,0,0
PH1,1959,N,3549,8678,1797,8895,8730,1,0,1,1,0
STL,1959,N,3179,7580,2148,8506,8303,1,0,1,1,1
SYR,1959,N,3406,8232,2105,8917,8730,1,0,1,0,0
BOS,1960,N,3697,9295,2062,9456,9014,1,1,1,1,1
CIN,1960,N,3626,8281,2060,9312,9583,0,0,0,0,0
DET,1960,N,3481,8357,2408,9370,9488,0,0,1,0,0
LAL,1960,N,3401,8430,2204,9006,9014,0,0,1,1,0
NYK,1960,N,3422,8347,2135,8979,9488,0,0,0,0,0
PH1,1960,N,3768,8883,2022,9558,9488,1,0,1,0,0
STL,1960,N,3618,8795,2147,9383,9101,1,0,1,1,1
SYR,1960,N,3654,8746,2278,9586,9417,0,0,1,1,0
BOS,1961,N,3855,9109,1977,9687,8952,1,1,1,1,1
CH2,1961,N,3461,8405,1952,8874,9552,0,0,0,0,0
CIN,1961,N,3806,8414,2233,9845,9704,1,0,1,0,0
DET,1961,N,3472,8366,2290,9234,9368,0,0,1,1,0
LAL,1961,N,3552,8315,2378,9482,9600,1,0,1,1,1
NYK,1961,N,3638,8696,1911,9187,9576,0,0,0,0,0
PH1,1961,N,3917,8929,2201,10035,9816,1,0,1,1,0
STL,1961,N,3641,8461,2226,9508,9768,0,0,0,0,0
SYR,1961,N,3706,8875,2246,9658,9472,1,0,1,0,0
BOS,1962,N,3746,8779,2012,9504,8928,1,1,1,1,1
CH2,1962,N,3371,7448,2053,8795,9112,0,0,0,0,0
CIN,1962,N,3672,7998,2183,9527,9424,1,0,1,1,0
DET,1962,N,3534,8188,2044,9112,9408,0,0,1,0,0
LAL,1962,N,3506,7948,2230,9242,8992,1,0,1,1,1
NYK,1962,N,3433,8007,1971,8837,9416,0,0,0,0,0
SFW,1962,N,3805,8449,1870,9480,9648,0,0,0,0,0
STL,1962,N,3355,7780,2056,8766,8624,1,0,1,1,0
SYR,1962,N,3690,8290,2350,9730,9424,1,0,1,0,0
BAL,1963,N,3456,7862,2036,8948,9088,0,0,0,0,0
BOS,1963,N,3619,8770,1804,9042,8408,1,1,1,1,1
CIN,1963,N,3516,7761,2146,9178,8776,1,0,1,1,0
DET,1963,N,3346,7943,1928,8620,9240,0,0,0,0,0
LAL,1963,N,3272,7438,2230,8774,8696,1,0,1,0,0
NYK,1963,N,3512,7888,1952,8976,9568,0,0,0,0,0
PHI,1963,N,3394,8116,2184,8972,9320,0,0,1,0,0
SFW,1963,N,3407,7779,1800,8614,8208,1,0,1,1,1
STL,1963,N,3341,7776,2115,8797,8672,1,0,1,1,0
BAL,1964,N,3421,7734,2245,9087,9264,0,0,1,1,0
BOS,1964,N,3567,8609,1890,9024,8360,1,1,1,1,1
CIN,1964,N,3482,7797,2170,9134,8952,1,0,1,0,0
DET,1964,N,3467,8297,1747,8681,8952,0,0,0,0,0
LAL,1964,N,3336,7628,2276,8948,8792,1,0,1,1,1
NYK,1964,N,3339,7834,1915,8593,8888,0,0,0,0,0
PHI,1964,N,3391,8028,2221,9003,9016,0,0,1,0,0
SFW,1964,N,3323,8245,1819,8465,8960,0,0,0,0,0
STL,1964,N,3269,7710,2168,8706,8464,1,0,1,0,0
BAL,1965,N,3599,8210,2267,9465,9560,0,0,1,0,0
BOS,1965,N,3488,8367,2038,9014,8624,1,1,1,1,1
CIN,1965,N,3610,8123,2204,9424,9328,1,0,1,0,0
DET,1965,N,3475,8502,1877,8827,9376,0,0,0,0,0
LAL,1965,N,3597,8109,2363,9557,9312,1,0,1,1,1
NYK,1965,N,3559,7910,2217,9335,9544,0,0,0,0,0
PHI,1965,N,3650,8189,2087,9387,9016,1,0,1,0,0
SFW,1965,N,3557,8512,2129,9243,9456,0,0,0,0,0
STL,1965,N,3379,7836,2155,8913,8960,0,0,1,1,0
