team,year,league,free throws made,assists,total points,made shots allowed,shot attempts allowed,Over 500,Champion,Playoffs,Playoff Win,Final 2
ATL,1973,N,1703,1993,8907,3573,7628,0,0,0,0,0
BOS,1973,N,1677,2187,8937,3561,8047,1,1,1,1,1
BUF,1973,N,1699,2165,9155,3786,8106,1,0,1,0,0
CAP,1973,N,1393,1770,8353,3496,7760,1,0,1,0,0
CAR,1973,A,1825,2027,9278,3557,7529,1,0,1,0,0
CHI,1973,N,1784,1868,8368,3336,7246,1,0,1,1,0
CLE,1973,N,1381,2048,8221,3440,7342,0,0,0,0,0
DEN,1973,A,1776,2004,8989,3670,7842,0,0,0,0,0
DET,1973,N,1654,1956,8560,3376,7499,1,0,1,0,0
GSW,1973,N,1569,1989,9011,3619,7995,1,0,0,0,0
HOU,1973,N,1682,2212,8810,3551,7433,0,0,0,0,0
IND,1973,A,1625,1825,8888,3606,8069,1,0,1,1,0
KCK,1973,N,1628,1744,8366,3580,7514,0,0,0,0,0
KEN,1973,A,1565,2104,9024,3576,8003,1,0,1,1,0
LAL,1973,N,1879,2179,8951,3667,8364,1,0,1,0,0
MIL,1973,N,1328,2225,8780,3311,7799,1,0,1,1,1
MMT,1973,A,1532,1920,8503,3598,7581,0,0,0,0,0
NYK,1973,N,1350,1937,8306,3292,7377,1,0,1,1,0
NYN,1973,A,1397,2025,9188,3476,7809,1,1,1,1,1
PHI,1973,N,1633,1799,8295,3600,7685,0,0,0,0,0
PHO,1973,N,1737,2052,8847,3648,7809,0,0,0,0,0
POR,1973,N,1591,2106,8761,3664,7571,0,0,0,0,0
SAS,1973,A,1462,1808,8199,3149,6964,1,0,1,0,0
SDQ,1973,A,1476,1984,9506,4121,8823,0,0,1,0,0
SEA,1973,N,1606,2106,8774,3554,7675,0,0,0,0,0
UTS,1973,A,1566,1870,8828,3578,7756,1,0,1,1,1
VIR,1973,A,2007,1665,8933,3724,8010,0,0,1,0,0
ATL,1974,N,1772,1878,8620,3563,7504,0,0,0,0,0
BOS,1974,N,1560,2159,8734,3432,7726,1,0,1,1,0
BUF,1974,N,1735,2063,8839,3575,7943,1,0,1,0,0
CHI,1974,N,1711,1840,8045,3167,7070,1,0,1,1,0
CLE,1974,N,1301,1903,8117,3263,7243,0,0,0,0,0
DEN,1974,A,2041,2450,9969,3809,8049,1,0,1,1,0
DET,1974,N,1533,1916,8111,3409,7257,0,0,0,0,0
