team,year,league,pca1,pca2,pca3,pca4,Over 500,Champion,Playoffs,Playoff Win,Final 2
ATL,1973,N,-3.73133988,0.263061738,0.243774063,-1.67382982,0,0,0,0,0
BOS,1973,N,-2.283197277,-0.447200976,2.848960262,-1.401547826,1,1,1,1,1
BUF,1973,N,-4.085118011,0.797599469,2.501063166,-0.671105455,1,0,1,0,0
CAP,1973,N,-1.052780865,0.998193337,3.981926888,-1.349418207,1,0,1,0,0
CAR,1973,A,4.964983215,-13.31301511,-1.6395212,0.124672763,1,0,1,0,0
CHI,1973,N,-1.468541599,0.716570333,1.270736514,-1.081435527,1,0,1,1,0
CLE,1973,N,-1.240410955,-0.039034382,1.561570111,-2.290524997,0,0,0,0,0
DEN,1973,A,4.947783927,-13.45408408,0.151983483,0.361871483,0,0,0,0,0
DET,1973,N,-2.089977234,1.137853443,1.688582659,-1.279772587,1,0,1,0,0
GSW,1973,N,-2.99766336,0.458988864,2.673427344,-0.961718739,1,0,0,0,0
HOU,1973,N,-2.667224519,0.03093462,0.538786777,-1.600298678,0,0,0,0,0
IND,1973,A,5.660254337,-13.18993294,0.745231971,0.195472823,1,0,1,1,0
KCK,1973,N,-1.539914797,0.961684345,1.534801585,-1.651867991,0,0,0,0,0
KEN,1973,A,5.996036086,-13.06433169,1.669231447,0.194959742,1,0,1,1,0
LAL,1973,N,-5.092049246,1.12073211,2.447235041,-0.040250795,1,0,1,0,0
MIL,1973,N,-1.349460491,0.840932323,2.958642324,-1.763998992,1,0,1,1,1
MMT,1973,A,5.895861588,-12.81731808,-1.018938732,-0.540320452,0,0,0,0,0
NYK,1973,N,0.537835459,-0.098580065,1.87310666,-2.105584917,1,0,1,1,0
NYN,1973,A,5.93699461,-12.99607369,0.399932308,-0.629255443,1,1,1,1,1
PHI,1973,N,-2.557430637,0.68951491,1.495032963,-1.772970215,0,0,0,0,0
PHO,1973,N,-3.450204318,-0.307199194,0.514632689,-1.488768724,0,0,0,0,0
POR,1973,N,-3.548282751,0.427019329,0.816024919,-1.854822126,0,0,0,0,0
SAS,1973,A,7.304615119,-11.89689123,-1.444713104,-0.678939979,1,0,1,0,0
SDQ,1973,A,4.750728724,-14.02027597,3.260433293,-0.051019763,0,0,1,0,0
SEA,1973,N,-3.625522376,-0.27446978,0.870413209,-1.906374758,0,0,0,0,0
UTS,1973,A,6.670790953,-12.47853402,0.490984933,-0.081840516,1,0,1,1,1
VIR,1973,A,4.677176922,-13.51422013,-1.606618488,0.696765836,0,0,1,0,0
ATL,1974,N,-3.027600992,0.093729026,0.957734418,-1.088234407,0,0,0,0,0
BOS,1974,N,-1.277187169,-0.245116165,2.726813184,-1.607877278,1,0,1,1,0
BUF,1974,N,-2.696122529,0.400829129,2.147605383,-0.87379876,1,0,1,0,0
CHI,1974,N,-0.397467689,0.585549375,0.856503899,-0.725730249,1,0,1,1,0
CLE,1974,N,-0.088187591,0.368836185,1.486050837,-2.277926918,0,0,0,0,0
DEN,1974,A,4.010688441,-13.93231994,-0.335925811,0.812866009,1,0,1,1,0
DET,1974,N,0.063435871,0.376544212,1.906088775,-1.548622257,0,0,0,0,0
GSW,1974,N,-3.216543194,0.819120787,1.684383061,-1.978454363,1,1,1,1,1
HOU,1974,N,-1.489396947,0.242531356,0.629906146,-1.88103005,0,0,1,0,0
IND,1974,A,5.163959691,-13.54269864,0.992504319,-0.483507819,1,0,1,1,1
KCK,1974,N,-1.022711862,0.058409307,1.173254169,-1.098094414,1,0,1,0,0
KEN,1974,A,5.678928353,-13.06731421,0.262116337,0.157172613,1,1,1,1,1
LAL,1974,N,-3.66647976,0.790367105,1.830481192,-1.085629257,0,0,0,0,0
MIL,1974,N,-0.136491582,0.197809411,2.416161067,-1.841363369,0,0,0,0,0
MMS,1974,A,6.533546153,-12.67371907,1.903770277,-0.70154072,0,0,1,0,0
NOJ,1974,N,-3.043422878,0.272864934,-0.411033965,-2.056825129,0,0,0,0,0
NYK,1974,N,-0.224664227,-0.032128081,0.911568541,-1.657156716,0,0,0,0,0
NYN,1974,A,6.272740532,-12.79865721,0.794060191,-0.317289939,1,0,1,0,0
PHI,1974,N,-1.122395809,0.16574983,1.54523148,-1.685836846,0,0,0,0,0
PHO,1974,N,-2.270357565,0.610516837,0.261389872,-1.798735309,0,0,0,0,0
POR,1974,N,-2.741680511,0.716854416,0.631585838,-1.213921851,0,0,0,0,0
SAS,1974,A,4.667996177,-13.65232313,-0.099340674,0.669177651,1,0,1,0,0
SDQ,1974,A,5.137651882,-13.59970933,1.604679006,-0.606559865,0,0,0,0,0
SEA,1974,N,-2.141647299,0.563136589,1.848979773,-1.87366892,1,0,1,0,0
STL,1974,A,4.735722787,-13.66092866,0.451044474,-0.227436056,0,0,1,1,0
UTS,1974,A,6.735986422,-12.34179921,-0.192110186,0.062270019,0,0,1,0,0
VIR,1974,A,5.949700376,-12.74710115,-1.594401664,-0.544023799,0,0,0,0,0
WA1,1974,N,-1.656769,0.922848583,2.079439358,-1.88121523,1,0,1,1,1
ATL,1975,N,-2.095335977,0.507762215,0.313745122,-1.019604033,0,0,0,0,0
BOS,1975,N,-1.780564076,-0.470767538,1.836061749,-1.395049346,1,1,1,1,1
BUF,1975,N,-2.704672373,-0.164688668,0.930880551,-1.077362286,1,0,1,0,0
CHI,1975,N,-0.666363227,0.318287024,0.257572252,-1.067276181,0,0,0,0,0
CLE,1975,N,-0.367104936,0.287305075,1.565013822,-1.863662911,1,0,1,1,0
DEN,1975,A,2.984099164,-14.71476729,0.653974778,1.251698174,1,0,1,1,1
DET,1975,N,-2.161890141,0.543973757,0.692914566,-1.81329239,0,0,1,0,0
GSW,1975,N,-3.433358994,0.81374495,1.903678553,-1.302077622,1,0,1,1,0
HOU,1975,N,-1.719619898,-0.39065686,1.291767196,-1.565266614,0,0,0,0,0
IND,1975,A,4.014164476,-14.21914205,0.86726252,0.19204202,0,0,0,0,0
KCK,1975,N,-2.268788971,-0.064576263,0.113265821,-1.305080951,0,0,0,0,0
KEN,1975,A,4.000211386,-14.01649643,-1.451712723,-0.022330932,1,0,1,0,0
LAL,1975,N,-3.083705388,0.431683564,2.040865196,-0.804135798,0,0,0,0,0
MIL,1975,N,-1.287662949,0.514942427,1.279218843,-1.709918044,0,0,0,0,0
NOJ,1975,N,-3.012312022,0.46371187,-0.533516972,-1.153183975,0,0,0,0,0
NYK,1975,N,-0.77639681,-0.500916029,0.714514109,-1.760372998,0,0,0,0,0
NYN,1975,A,4.322589058,-13.83360924,-1.258740522,0.121750827,1,1,1,1,1
PHI,1975,N,-3.684453008,0.449258436,0.256274068,-1.307961071,1,0,0,0,0
PHO,1975,N,-2.695090759,0.667314787,0.133535136,-1.498022537,1,0,1,1,1
POR,1975,N,-3.131815322,0.706410782,0.079541782,-1.177051507,0,0,0,0,0
SAS,1975,A,4.176011814,-13.94179312,-0.229284896,0.597240401,1,0,1,0,0
SDS,1975,A,29.69131531,2.485945033,-0.622706326,-4.145620568,0,0,0,0,0
SEA,1975,N,-3.282821688,0.349094224,0.083577144,-1.671178107,1,0,1,0,0
STL,1975,A,4.833554506,-13.63779281,-0.295912666,-0.589942712,0,0,0,0,0
UTS,1975,A,27.5052406,1.122538502,-0.872830718,-3.750663065,0,0,0,0,0
VIR,1975,A,4.39125901,-13.6925481,-1.535240381,0.467534224,0,0,0,0,0
WA1,1975,N,-1.272448716,0.851736113,1.61294231,-0.955211383,1,0,1,0,0
ATL,1976,N,-3.025007768,0.319741125,-1.537246872,-1.327117075,0,0,0,0,0
BOS,1976,N,-2.178527314,-0.586486142,1.531468758,-1.320584446,1,0,1,1,0
BUF,1976,N,-2.8708405,0.281044439,2.052778894,-0.378117107,0,0,0,0,0
CHI,1976,N,-1.096581436,0.840544465,1.329717642,-0.859987439,1,0,1,0,0
CLE,1976,N,-1.241711643,0.378767723,0.776154648,-1.373759847,1,0,1,0,0
DEN,1976,N,-5.234487027,1.094312863,0.197967889,-0.417002518,1,0,1,0,0
DET,1976,N,-3.308641971,0.708853109,0.191608597,-2.356403064,1,0,1,0,0
GSW,1976,N,-3.578239159,0.574971291,1.099567313,-1.442240541,1,0,1,1,0
HOU,1976,N,-1.368144748,-0.43996907,0.161393834,-1.369058666,1,0,1,1,0
IND,1976,N,-3.944460676,0.85819802,1.069518843,-1.038082474,0,0,0,0,0
KCK,1976,N,-2.874675835,0.316891821,-0.518256012,-1.68666342,0,0,0,0,0
LAL,1976,N,-1.858302568,0.752152802,2.486074293,-1.618832608,1,0,1,1,0
MIL,1976,N,-3.084541142,0.031864712,0.94017522,-1.88437923,0,0,0,0,0
NOJ,1976,N,-3.07406202,0.239989281,0.366256483,-1.427927921,0,0,0,0,0
NYK,1976,N,-2.334807744,0.097459608,0.562672595,-1.770432703,0,0,0,0,0
NYN,1976,N,-2.107454321,1.451218152,-1.005603491,-1.232685259,0,0,0,0,0
PHI,1976,N,-4.249078075,0.841776232,1.015942871,-0.160839197,1,0,1,1,1
PHO,1976,N,-3.104429393,0.648656716,-1.166025479,-1.432422358,0,0,0,0,0
POR,1976,N,-4.225203951,0.753333788,-0.952439972,-0.696178452,1,1,1,1,1
SAS,1976,N,-4.520951435,0.308191593,1.597462465,-0.460977005,1,0,1,0,0
SEA,1976,N,-3.616260757,1.243378886,-0.581241582,-1.346638444,0,0,0,0,0
WA1,1976,N,-1.986742568,0.344179524,1.873544673,-0.947787266,1,0,1,1,0
